Identity	Male	Born_USA	Birth	Final	Alive	Films	Wins	Noms	FirstWin_Year	FirstNom_Year
216	1	Yes	1933	2001	1	93	0	2		1982
217	1	Yes	1935	2001	1	41	0	0		
218	1	Yes	1921	1978	0	59	0	0		
219	1	No 	1888	1969	0	102	0	0		
220	1	No 	1941	2001	1	4	0	0		
221	1	No 	1899	1962	0	55	1	3	1933	1933
222	1	Yes	1936	2001	1	67	0	0		
223	1	Yes	1925	2001	1	36	0	0		
224	1	No 	1904	2001	1	52	0	0		
225	0	No 	1946	2001	1	42	0	0		
226	1	Yes	1924	2001	1	99	1	1	1959	1959
227	1	Yes	1951	2001	1	16	0	1		1994
228	0	Yes	1946	2001	1	22	1	2	1987	1983
229	1	Yes	1901	1970	0	87	0	1		1929
230	1	No 	1899	1981	0	11	0	1		1970
231	1	Yes	1903	1978	0	104	0	1		1960
232	1	No 	1949	2001	1	53	0	0		
233	1	Yes	1942	2001	1	39	0	1		1975
234	1	Yes	1894	1953	0	78	0	0		
235	0	Yes	1950	2001	1	28	0	1		1984
236	1	Yes	1961	2001	1	30	0	0		
237	1	Yes	1938	2001	1	74	0	0		
238	1	Yes	1952	2001	1	42	0	0		
239	1	Yes	1943	2001	1	55	1	1	1978	1978
240	1	Yes	1938	2001	1	36	0	0		
241	0	Yes	1933	2001	1	46	0	1		1972
242	0	Yes	1948	2001	1	32	0	0		
243	0	Yes	1913	1966	0	63	0	0		
244	0	Yes	1909	2001	1	71	1	3	1948	1937
245	1	Yes	1959	2001	1	28	0	0		
246	1	No 	1891	1970	0	69	0	0		
247	0	No 	1880	1962	0	113	0	0		
248	1	Yes	1901	1960	0	56	1	3	1934	1934
249	1	No 	1889	1967	0	59	0	4		1939
250	1	Yes	1907	1985	0	17	0	0		
251	0	No 	1903	1996	0	67	1	3	1934	1934
253	1	Yes	1893	1953	0	150	0	0		
254	1	Yes	1936	2001	1	25	0	0		
255	1	Yes	1925	2001	1	79	1	1	1968	1968
256	1	Yes	1893	1966	0	26	0	3		1944
257	1	Yes	1930	2001	1	72	0	1		1992
258	0	Yes	1926	2001	1	93	1	1	1971	1971
259	1	Yes	1948	2001	1	43	0	0		
260	1	No 	1930	1987	0	39	0	0		
261	1	No 	1960	2001	1	19	0	0		
262	1	Yes	1896	1980	0	12	0	0		
263	1	No 	1888	1968	0	61	0	0		
264	0	Yes	1924	1991	0	52	0	0		
265	0	Yes	1926	2001	1	1	0	1		1952
266	0	Yes	1943	2001	1	37	0	0		
267	0	Yes	1901	1985	0	88	0	0		
268	0	Yes	1880	1955	0	33	0	0		
269	1	No 	1923	2001	1	17	0	0		
270	0	No 	1929	2001	1	26	0	0		
271	0	Yes	1898	1979	0	21	0	1		1929
272	0	No 	1937	2001	1	16	0	0		
273	1	Yes	1915	1989	0	44	0	1		1945
274	1	Yes	1946	2001	1	44	0	0		
275	1	Yes	1954	2001	1	25	0	0		
276	1	No 	1882	1965	0	133	0	0		
277	1	Yes	1964	2001	1	23	0	0		
278	1	Yes	1968	2001	1	15	1	1	1996	1996
279	0	Yes	1950	2001	1	30	0	0		
280	1	Yes	1893	1967	0	122	0	0		
281	1	Yes	1932	2001	1	79	0	0		
282	0	Yes	1897	2001	1	35	0	0		
283	1	No 	1950	2001	1	78	0	1		1989
284	1	Yes	1917	1978	0	54	0	1		1948
285	1	No 	1919	2001	1	64	0	1		1954
286	1	Yes	1915	1993	0	52	0	0		
287	0	Yes	1942	2001	1	19	0	0		
288	1	No 	1907	1986	0	50	0	0		
289	1	No 	1957	2001	1	17	1	2	1989	1989
290	1	No 	1933	1998	0	26	0	1		1968
291	1	Yes	1933	2001	1	70	0	1		1989
292	1	Yes	1944	2001	1	59	0	0		
293	1	Yes	1947	2001	1	44	0	0		
294	0	Yes	1960	2001	1	30	0	0		
295	1	Yes	1929	2001	1	8	0	0		
296	1	Yes	1952	2001	1	23	0	0		
297	1	Yes	1908	2001	1	30	0	0		
298	1	Yes	1943	2001	1	42	0	0		
299	1	Yes	1954	2001	1	38	0	0		
300	1	No 	1933	2001	1	84	0	0		
301	1	No 	1910	1983	0	114	1	1	1958	1935
302	1	Yes	1954	2001	1	40	0	1		1992
303	1	Yes	1943	2001	1	24	0	0		
304	1	Yes	1921	1973	0	8	0	0		
305	1	No 	1941	2001	1	93	0	0		
306	0	No 	1930	1985	0	43	0	0		
307	1	Yes	1903	1991	0	103	1	1	1949	1949
308	1	Yes	1935	2001	1	104	0	1		1988
309	0	Yes	1932	2001	1	56	0	1		1964
310	0	Yes	1957	2001	1	2	0	0		
311	0	No 	1921	2001	1	57	0	6		1949
312	0	Yes	1953	2001	1	34	0	0		
313	0	Yes	1955	2001	1	21	0	3		1982
314	0	Yes	1905	1979	0	31	0	0		
315	0	Yes	1962	2001	1	32	0	0		
316	1	No 	1922	1992	0	105	0	1		1986
317	1	No 	1927	2001	1	20	0	0		
318	1	Yes	1936	2001	1	92	0	1		1955
319	1	Yes	1954	2001	1	36	1	4	1989	1987
320	1	Yes	1898	1950	0	151	0	0		
321	1	Yes	1923	1990	0	6	0	1		1986
322	0	Yes	1935	2001	1	23	0	1		1974
323	0	Yes	1919	1997	0	21	0	0		
324	0	Yes	1944	2001	1	17	0	1		1972
325	0	Yes	1955	2001	1	31	0	1		1980
326	0	No 	1906	1964	0	18	0	1		1933
327	0	No 	1933	2001	1	30	0	1		1963
328	0	Yes	1946	2001	1	39	1	3	1977	1974
329	0	Yes	1938	1992	0	11	0	1		1957
330	0	Yes	1939	2001	1	50	0	3		1974
331	0	Yes	1948	2001	1	25	2	3	1986	1986
332	1	Yes	1930	2001	1	14	0	0		
333	1	Yes	1910	1979	0	94	0	0		
334	1	Yes	1928	2001	1	56	0	0		
335	0	Yes	1928	2001	1	41	0	0		
336	1	Yes	1908	1993	0	78	1	1	1985	1985
337	1	Yes	1899	2001	1	83	0	0		
338	1	Yes	1929	2001	1	63	0	1		1956
339	1	Yes	1920	1998	0	63	0	0		
340	1	Yes	1902	1988	0	34	0	0		
341	1	No 	1943	1999	0	26	0	0		
342	1	No 	1880	1974	0	161	1	1	1941	1941
343	1	No 	1919	1995	0	184	0	0		
344	1	No 	1935	2001	1	96	0	0		
345	0	Yes	1957	2001	1	13	0	0		
346	0	Yes	1921	1986	0	48	1	1	1953	1945
347	0	Yes	1911	1983	0	67	0	0		
348	0	Yes	1924	2001	1	40	0	1		1959
349	0	No 	1899	1968	0	155	0	0		
350	0	Yes	1929	2001	1	40	0	0		
351	0	Yes	1898	1975	0	18	0	0		
352	0	Yes	1920	1968	0	23	0	0		
353	0	No 	1925	1992	0	29	0	0		
354	0	Yes	1923	1965	0	26	0	1		1954
355	0	No 	1903	1990	0	51	0	0		
356	0	Yes	1925	2001	1	75	1	1	1956	1956
357	0	Yes	1919	2001	1	40	0	1		1947
358	0	No 	1922	1987	0	37	0	0		
359	0	Yes	1889	1955	0	87	0	0		
360	0	Yes	1944	1983	0	2	0	0		
361	0	Yes	1968	2001	1	15	0	0		
362	1	Yes	1910	1960	0	48	0	0		
363	1	No 	1909	1961	0	50	0	0		
364	1	Yes	1907	1994	0	145	0	0		
365	1	No 	1935	2001	1	47	0	1		1981
366	1	Yes	1937	2001	1	37	2	7	1979	1967
367	0	Yes	1939	2001	1	37	0	2		1969
368	0	Yes	1937	2001	1	8	0	0		
369	1	Yes	1885	1966	0	36	0	0		
370	1	Yes	1928	2001	1	55	0	0		
371	1	Yes	1901	1970	0	49	1	1	1962	1962
372	1	Yes	1950	2001	1	40	0	3		1995
373	1	Yes	1886	1966	0	38	0	1		1959
374	1	Yes	1908	2001	1	126	0	2		1953
375	1	Yes	1930	1995	0	9	0	0		
376	1	Yes	1890	1965	0	72	0	0		
377	1	No 	1903	1952	0	60	0	0		
378	1	Yes	1907	1964	0	50	0	0		
379	0	Yes	1912	1977	0	20	0	0		
380	0	No 	1888	1976	0	22	0	3		1963
381	0	Yes	1899	1980	0	48	0	0		
382	0	Yes	1894	1962	0	5	0	0		
383	1	Yes	1915	1985	0	87	1	2	1954	1954
384	1	No 	1924	2001	1	47	0	0		
385	1	No 	1875	1959	0	83	1	2	1947	1947
386	0	Yes	1883	1942	0	48	0	1		1939
387	1	Yes	1890	1956	0	96	0	0		
388	1	Yes	1886	1970	0	108	0	0		
389	1	No 	1937	2001	1	45	0	0		
390	1	Yes	1902	1964	0	204	0	0		
391	1	Yes	1943	2001	1	57	0	0		
392	1	Yes	1947	2001	1	36	0	1		1988
393	1	Yes	1969	2001	1	6	0	2		1996
394	1	Yes	1909	1980	0	34	0	0		
395	0	Yes	1935	2001	1	57	0	1		1971
396	0	Yes	1919	2001	1	35	1	2	1972	1956
397	0	No 	1919	2001	1	10	0	0		
398	0	No 	1879	1961	0	67	0	0		
399	0	Yes	1932	2001	1	12	0	0		
400	0	Yes	1947	2001	1	2	0	0		
401	0	No 	1934	2001	1	25	0	0		
402	0	Yes	1922	2001	1	61	0	3		1950
403	0	No 	1898	1986	0	13	0	1		1935
404	0	Yes	1963	2001	1	22	0	1		1995
405	0	No 	1908	1990	0	48	0	0		
406	0	Yes	1941	1987	0	9	0	1		1965
407	0	Yes	1961	2001	1	27	0	1		1981
408	0	No 	1932	2001	1	78	2	5	1960	1957
409	0	Yes	1917	1996	0	19	0	0		
410	0	Yes	1932	2001	1	58	1	6	1974	1971
411	0	Yes	1914	1999	0	97	0	1		1948
412	1	Yes	1938	2001	1	88	0	1		1969
413	1	Yes	1920	2001	1	20	0	0		
414	0	No 	1902	1986	0	61	0	2		1949
415	1	No 	1884	1950	0	33	2	2	1928	1928
416	1	Yes	1926	1965	0	2	0	0		
417	0	Yes	1967	2001	1	5	0	2		1996
418	0	No 	1959	2001	1	18	1	4	1992	1992
419	1	Yes	1893	1969	0	258	0	0		
420	1	No 	1905	1987	0	47	0	0		
421	1	Yes	1886	1971	0	4	0	0		
422	1	Yes	1956	2001	1	52	0	1		1985
423	1	Yes	1961	2001	1	48	0	0		
424	1	No 	1885	1957	0	68	0	1		1950
425	1	Yes	1915	2001	1	119	1	1	1955	1955
426	1	No 	1906	1987	0	61	0	0		
427	0	Yes	1927	2001	1	25	1	2	1967	1967
428	0	Yes	1899	1958	0	27	0	0		
429	0	Yes	1933	1998	0	24	0	0		
430	0	Yes	1879	1959	0	31	1	4	1944	1944
431	0	Yes	1896	1977	0	17	0	1		1949
432	0	Yes	1917	1998	0	19	0	0		
433	1	Yes	1889	1954	0	157	0	0		
434	0	No 	1899	1991	0	3	0	1		1980
435	0	Yes	1912	1990	0	78	0	1		1937
436	0	Yes	1930	2001	1	17	0	0		
437	0	Yes	1924	2001	1	38	1	1	1954	1954
438	0	Yes	1897	1988	0	56	0	0		
439	0	Yes	1919	2001	1	50	0	0		
440	0	Yes	1895	1958	0	15	0	0		
441	0	Yes	1913	1993	0	24	0	0		
442	1	Yes	1901	1953	0	16	0	0		
443	0	Yes	1903	1959	0	33	0	0		
444	1	Yes	1939	2001	1	41	1	1	1984	1973
445	0	No 	1922	2001	1	29	0	0		
446	0	Yes	1891	1968	0	42	1	3	1938	1938
447	0	Yes	1913	2001	1	41	0	0		
448	0	Yes	1941	2001	1	63	1	3	1976	1967
449	0	Yes	1880	1951	0	46	0	0		
450	1	No 	1915	1994	0	131	0	0		
451	0	No 	1958	2001	1	16	0	0		
452	0	No 	1902	1984	0	51	0	1		1946
453	0	Yes	1888	1954	0	66	0	0		
454	0	Yes	1901	1988	0	17	0	0		
455	0	Yes	1904	1980	0	50	0	0		
456	0	Yes	1889	1949	0	4	0	0		
457	1	Yes	1961	2001	1	34	0	0		
458	1	Yes	1919	1986	0	96	0	0		
459	0	Yes	1957	2001	1	23	0	0		
460	0	Yes	1907	2001	1	49	0	0		
461	0	Yes	1957	2001	1	27	1	3	1996	1988
462	0	Yes	1908	2001	1	83	0	0		
463	1	Yes	1905	1968	0	73	0	1		1935
464	1	Yes	1893	1963	0	80	0	0		
465	1	No 	1890	1964	0	75	0	0		
466	1	Yes	1910	1981	0	56	0	0		
467	1	Yes	1907	1985	0	161	0	0		
468	1	No 	1926	2001	1	60	0	1		1965
469	1	Yes	1878	1960	0	111	0	0		
470	1	Yes	1925	2001	1	33	0	0		
471	1	Yes	1899	1981	0	119	0	0		
472	1	Yes	1887	1967	0	77	0	0		
473	1	Yes	1890	1949	0	111	0	2		1934
474	1	Yes	1909	1992	0	55	0	0		
475	1	Yes	1884	1973	0	154	0	0		
476	1	Yes	1915	1998	0	109	1	2	1953	1953
477	1	No 	1926	1994	0	13	0	0		
478	1	Yes	1963	2001	1	30	0	0		
479	1	Yes	1894	1958	0	176	0	0		
480	1	Yes	1899	1987	0	67	0	1		1974
481	1	Yes	1943	2001	1	25	0	0		
482	1	Yes	1889	1938	0	92	0	0		
483	1	Yes	1908	1991	0	98	0	0		
484	1	Yes	1913	1957	0	92	0	0		
485	1	Yes	1942	2001	1	3	0	0		
486	1	Yes	1938	2001	1	62	0	1		1979
487	1	Yes	1897	1975	0	79	2	5	1932	1931
488	0	No 	1900	1976	0	48	0	0		
489	1	No 	1900	1993	0	119	0	0		
490	0	Yes	1911	1980	0	62	0	0		
491	0	Yes	1899	1985	0	43	1	2	1936	1936
492	1	Yes	1944	2001	1	66	0	1		1974
493	1	Yes	1901	1961	0	111	2	5	1941	1936
494	1	Yes	1921	1999	0	3	0	0		
495	1	Yes	1936	2001	1	23	0	0		
496	1	Yes	1955	2001	1	14	0	1		1994
497	1	Yes	1930	2001	1	47	0	0		
498	1	Yes	1926	2001	1	40	0	0		
499	0	Yes	1957	2001	1	18	1	2	1988	1988
500	0	Yes	1934	2001	1	40	0	2		1968
501	1	Yes	1931	2001	1	74	2	5	1971	1967
502	1	Yes	1912	1996	0	59	0	1		1945
503	1	No 	1891	1957	0	117	0	1		1938
504	1	Yes	1921	2001	1	17	0	0		
505	0	Yes	1920	1991	0	39	0	1		1945
506	1	Yes	1935	2001	1	24	0	1		1967
507	0	Yes	1907	1949	0	38	0	0		
508	0	No 	1942	2001	1	42	0	1		1969
509	1	No 	1951	2001	1	15	1	3	1996	1996
510	1	No 	1868	1946	0	26	1	2	1930	1930
511	1	No 	1931	1976	0	38	0	0		
512	1	Yes	1882	1956	0	65	0	1		1929
513	1	Yes	1862	1945	0	88	0	0		
514	1	Yes	1896	1996	0	65	1	1	1975	1975
515	1	Yes	1926	1999	0	61	1	4	1970	1959
516	1	Yes	1934	2001	1	24	1	1	1961	1961
517	1	Yes	1875	1957	0	14	0	0		
518	1	No 	1903	1989	0	82	0	0		
519	1	Yes	1925	2001	1	107	1	1	1967	1967
520	1	Yes	1900	1952	0	88	0	0		
521	1	Yes	1928	2001	1	25	0	0		
522	1	Yes	1895	1959	0	65	0	0		
523	1	Yes	1914	1959	0	81	0	0		
524	1	No 	1906	1972	0	132	1	1	1950	1940
525	1	Yes	1934	2001	1	62	0	1		1965
526	1	No 	1899	1948	0	50	0	0		
527	1	Yes	1901	1980	0	61	0	0		
528	1	No 	1924	2001	1	7	0	0		
529	0	Yes	1892	1950	0	11	0	0		
530	0	Yes	1944	2001	1	64	0	0		
531	0	No 	1914	2001	1	65	0	1		1939
532	0	Yes	1924	1987	0	48	1	8	1985	1953
533	1	No 	1948	2001	1	97	0	1		1990
534	1	No 	1958	2001	1	36	0	0		
535	1	No 	1942	2001	1	61	0	1		1976
536	1	Yes	1913	1978	0	81	1	3	1969	1951
537	1	No 	1899	1999	0	48	0	0		
538	1	No 	1905	1994	0	105	0	0		
539	0	Yes	1911	1995	0	87	1	1	1940	1940
540	0	No 	1888	1971	0	42	0	3		1942
541	0	Yes	1904	1954	0	35	0	1		1936
542	0	Yes	1904	1971	0	78	0	0		
543	0	No 	1936	2001	1	41	2	4	1970	1970
544	0	Yes	1947	2001	1	45	0	5		1982
545	0	Yes	1924	1981	0	46	1	2	1952	1947
546	0	Yes	1925	2001	1	32	0	0		
547	0	No 	1908	1991	0	34	0	0		
548	0	Yes	1910	2001	1	55	0	1		1997
549	0	Yes	1897	1983	0	60	0	3		1928
550	0	No 	1923	2001	1	67	0	1		1960
551	0	Yes	1945	2001	1	30	1	2	1969	1969
552	0	Yes	1929	1982	0	18	1	2	1954	1953
553	0	Yes	1930	2001	1	14	0	0		
554	0	Yes	1883	1972	0	6	0	0		
555	0	Yes	1901	1947	0	10	0	1		1934
556	0	Yes	1903	1992	0	21	0	0		
557	1	Yes	1908	1995	0	148	0	0		
558	1	No 	1952	2001	1	24	0	1		1990
559	1	Yes	1907	1972	0	2	0	0		
560	0	Yes	1927	1985	0	10	0	1		1964
561	0	No 	1903	1996	0	29	1	7	1942	1939
562	1	Yes	1963	2001	1	5	0	1		1997
563	1	Yes	1939	2001	1	33	0	0		
564	1	No 	1908	1982	0	62	0	0		
565	1	Yes	1916	2001	1	69	1	5	1962	1945
566	1	Yes	1932	2001	1	35	0	0		
567	0	No 	1905	1990	0	35	0	4		1930
568	0	No 	1914	1993	0	9	0	0		
569	1	No 	1906	1973	0	60	0	0		
570	1	Yes	1907	1962	0	11	0	0		
571	1	No 	1940	1996	0	19	1	1	1984	1984
572	1	Yes	1925	2001	1	67	0	0		
573	1	Yes	1901	1992	0	132	0	0		
574	1	Yes	1896	1990	0	44	0	0		
575	1	No 	1928	2001	1	58	0	0		
576	1	Yes	1880	1952	0	82	0	0		
577	0	Yes	1953	2001	1	16	0	0		
